Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-a03u02,120,A,03,U02,2,1,120A03U02-2-1,BH_GALAXY,bh-glx-a03u02,120,A,03,U02,1,1,120A03U02-1-1,BH_GALAXY,0.5m,
bh-glx-a03u02,120,A,03,U02,4,1,120A03U02-4-1,BH_GALAXY,bh-glx-a03u02,120,A,03,U02,3,1,120A03U02-3-1,BH_GALAXY,0.5m,
bh-glx-a03u02,120,A,03,U02,2,2,120A03U02-2-2,BH_GALAXY,bh-glx-a03u02,120,A,03,U02,1,2,120A03U02-1-2,BH_GALAXY,0.5m,
bh-glx-a03u02,120,A,03,U02,4,2,120A03U02-4-2,BH_GALAXY,bh-glx-a03u02,120,A,03,U02,3,2,120A03U02-3-2,BH_GALAXY,0.5m,
bh-glx-a03u08,120,A,03,U08,2,1,120A03U08-2-1,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,1,1,120A03U08-1-1,BH_GALAXY,0.5m,
bh-glx-a03u08,120,A,03,U08,4,1,120A03U08-4-1,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,3,1,120A03U08-3-1,BH_GALAXY,0.5m,
bh-glx-a03u08,120,A,03,U08,2,2,120A03U08-2-2,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,1,2,120A03U08-1-2,BH_GALAXY,0.5m,
bh-glx-a03u08,120,A,03,U08,4,2,120A03U08-4-2,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,3,2,120A03U08-3-2,BH_GALAXY,0.5m,
bh-glx-a03u02,120,A,03,U02,3,3,120A03U02-3-3,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,1,3,120A03U08-1-3,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,4,3,120A03U02-4-3,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,2,3,120A03U08-2-3,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,3,4,120A03U02-3-4,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,1,4,120A03U08-1-4,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,4,4,120A03U02-4-4,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,2,4,120A03U08-2-4,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,3,5,120A03U02-3-5,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,1,5,120A03U08-1-5,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,4,5,120A03U02-4-5,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,2,5,120A03U08-2-5,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,3,6,120A03U02-3-6,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,1,6,120A03U08-1-6,BH_GALAXY,1m,
bh-glx-a03u02,120,A,03,U02,4,6,120A03U02-4-6,BH_GALAXY,bh-glx-a03u08,120,A,03,U08,2,6,120A03U08-2-6,BH_GALAXY,1m,